Topic,Representative_Docs
-1,"마약범죄 척결을 위해 전담인력만 840명에 달하는 범정부 특별수사본부가 출범했다. 마약 관련 수사본부로는 역대 최대 규모로 ‘마약과의 전쟁’에 본격적으로 나선 모양새다.
대검찰청 경찰청 관세청은 10일 교육부 식품의약품안전처 서울시 등과 함께 ‘마약범죄 대응 유관기관 협의회’를 열고 범정부 차원에서 ‘마약범죄 특별수사본부’(공동본부장 신봉수 대검 반부패.."
-1,"집행유예 기간 중 마약을 투약한 혐의를 받는 인플루언서 황하나(33)씨가 7일 구속됐다.

권경선 서울서부지법 영장전담판사는 이날 마약류 관리에 관한 법률 위반 혐의를 받는 황씨의 구속 전 피의자 심문(영장실질심사)을 진행한 후 구속 영장을 발부했다. 권 판사는 “증거인멸과 도주 우려가 있다”고 구속 사유를 설명했다.

황씨는 오전 심문을 마치고 나오며.."
-1,"올해 10대 등 젊은 층을 중심으로 마약사범이 역대 최고치로 치솟을 것이란 전망에 검찰이 ‘마약과의 전쟁’에 나섰다. 서울 인천 부산 광주 등 4대 검찰청에 ‘마약범죄 특별수사팀’을 설치해 전국적인 단속을 한다.
 
 
 한동훈 법무부 장관이 대검찰청에 지난 13일 “마약류 범죄에 엄정 대응하라”며 “전쟁을 치른다는 각오로 최선을 다하라”라고 지시한 데.."
-1,"◇“지금 확산세 못 꺾으면 통제불능 임계치 넘어설 것”
지난 7월 초 발생한 서울 ‘강남 유흥주점 마약 사망사건’은 현재 우리 사회에 마약이 얼마나 흔하게 번져 일상화했는지를 새삼 드러낸 충격적 부표다. 하지만 전문가들은 그조차도 빙산의 일각에 불과하다고 입을 모은다. 당시 손님과 종업원을 사망에 이르게 한 문제의 마약은 필로폰(메스암페타민)인 것으로 .."
-1,"“살려주세요. 마약을 했어요.” 지난 8일 오후 8시쯤 서울 강남구의 한 편의점에서 30대 여성이 점원에게 이렇게 말했다. 횡설수설하듯 기이한 행동에 점원은 경찰에 신고했다. 현장에 출동한 경찰이 마약 반응 검사를 한 결과 실제로 양성 반응이 나왔다. 경찰은 여성이 조사를 받을 수 없는 상황이라고 판단해 우선 귀가시켰다. 
 
 같은 날 오전 3시쯤엔 .."
0,"마약 투약으로 유죄가 선고된 뒤 집행유예 기간에 또다시 마약을 투약한 혐의로 기소된 황하나(34)씨가 대법원에서 징역형이 확정됐다. 
 
대법원 2부(주심 이동원 대법관)는 지난 1월 21일 마악류관리에 관한 법률 위반 등 혐의로 기소된 황씨에게 징역 1년 8개월을 선고한 원심을 확정했다. 추징금 50만원도 그대로 유지됐다. 
 
황씨는 지난 2020년.."
0,"마약 투약 혐의로 유죄가 선고된 뒤 형 집행 유예 기간에 또다시 마약을 투약한 혐의 등으로 구속기소 된 황하나(33)씨가 항소심에서 감형됐다. 
 
 서울서부지법 형사항소 1-1부(성지호 부장판사)는 15일 마약류 관리에 관한 법률 위반 등 혐의로 기소된 황씨에게 징역 2년을 선고한 원심판결을 파기하고 징역 1년 8개월을 선고했다. 추징금은 40만원에서.."
0,"아이돌 그룹 '아이콘' 전 멤버 비아이(본명 김한빈)의 마약 투약 혐의 수사를 무마하려 한 혐의를 받는 양현석 전 YG 엔터테인먼트 대표가 1심에서 무죄 판결을 받은 것에 대해 검찰이 항소했다. 
 
 28일 법조계에 따르면 검찰은 이날 해당 사건을 심리한 서울중앙지법 형사합의23부(부장판사 조병구)에 항소장을 제출했다. 
 양현석 전 YG엔터테인먼트 .."
0,"집행유예 기간 중 다시 마약을 투약한 혐의 등으로 재판에 넘겨진 남양유업 창업주의 외손녀 황하나(33)씨가 항소심에서도 실형을 선고받았다. 
 
 서울서부지법 형사항소1-1부(부장판사 성지호)는 15일 마약류 관리에 관한 법률 위반 등 혐의로 기소된 황씨의 항소심에서 징역 1년 8개월을 선고하고 추징금 50만원을 명령했다. 앞서 1심 재판부는 징역 2년.."
0,"마약 혐의 처벌 집행유예 기간 중 또 마약을 투약한 혐의 등으로 재판에 넘겨진 남양유업 창업주 외손녀 황하나 씨가 실형을 최종 확정받았다. 
 
4일 법조계에 따르면 대법원 2부(주심 이동원 대법관)는 최근 마약류 관리에 관한 법률 위반(향정) 등 혐의로 기소된 황 씨의 상고심에서 징역 1년8개월에 추징금 50만 원을 명령한 원심을 확정했다. 
 
앞서.."
1,"더불어민주당과 정의당, 기본소득당과 무소속 등 범야권 의원 181명이 이태원 핼러윈 참사의 진상 규명을 위한 국정조사 요구서를 9일 국회에 제출했다. 대통령실은 “이 슬픔은 정치에 활용돼서는 안 된다”고 했고, 국민의힘은 “강제력이 없는 국정조사는 정쟁만 일으킬 뿐”이라고 반발했다. 다만 국민의힘 내에서도 “범야권이 손잡고 단독 처리하면 막을 수단도, .."
1,"더불어민주당 등 야 3당 '이태원 참사' 진상규명을 위한 국정조사 요구서를 제출한 가운데 여권이 10일 수사를 통한 진상규명을 강조하며 반대입장을 재확인했다. 민주당은 여당의 불참시 야권 단독으로 특위구성에 나선다는 계획이어서 여야간의 정치적 충돌이 불가피할 전망이다. 
 








 


더불어민주당 등 야 3당이 제출한 '이태원 압사 참사'의 .."
1,"더불어민주당과 정의당, 기본소득당이 9일 이태원 핼러윈 참사 진상규명을 위한 국정조사 요구서를 국회에 공동 제출했다. 국민의힘은 국정조사 요구서 제출에 동참하지 않았다. 민주당은 국민의힘이 국정조사를 거부하면 야당 단독으로라도 추진하겠다고 밝혔다. 대통령실은 “슬픔을 정치에 활용해선 안 된다”며 부정적인 입장을 밝혔다.

위성곤 민주당 원내수석부대표, .."
1,"더불어민주당과 정의당, 기본소득당이 9일 이태원 핼러윈 참사 진상규명을 위한 국정조사 요구서를 국회에 공동 제출했다. 국민의힘은 국정조사 요구서 제출에 동참하지 않았다. 민주당은 국민의힘이 국정조사를 거부하면 야당 단독으로라도 추진하겠다고 밝혔다. 대통령실은 “슬픔을 정치에 활용해선 안 된다”며 부정적인 입장을 밝혔다.

위성곤 민주당 원내수석부대표, .."
1,"더불어민주당과 정의당, 기본소득당 등 범야권 3당이 9일 ‘이태원 압사 참사’와 관련한 국정조사 요구서를 제출했다. 국민의힘은 현재 수사가 진행 중인데 국정조사까지 한다는 것은 정치적 의도가 있다며 거부했다. 김진표 국회의장은 여당이 거부 의사를 표한 것과 관련해 “대형 참사가 발생했을 때, 수사와 국정조사가 함께 진행됐다”며 협조를 요청하는 한편 야당.."
2,"영화는 관객과 끊임없이 대화한다. 텔레비전을 ‘바보 상자’라고 부르는 관점에서는 받아들이기 어려운 이야기일 수 있다. 영화관에 가만히 앉아서 스크린을 지나치는 그림들을 바라보는 동안 어떤 소통이, 누구와 일어난단 말인가?
사실 영화와의 대화는 영화관을 나서는 순간부터 시작된다. 관객은 줄거리부터 소품까지 영화에 담겼던 내용들을 되새김질하면서 영화관에서 .."
2,에밀리 블런트는 ‘센 언니’로 획을 그은 배우다. 2014년 외계인과의 전쟁을 그린 SF 액션 ‘엣지 오브 투모로우’에서 그녀는 연합군 최고의 병사(리타 브라타스키)로 등장해 절대 죽을 것 같지 않은 불도장을 남겼다. 이듬해 드니 빌뇌브 감독의 범죄 드라마 ‘시카리오: 암살자의 도시’에서는 마약 조직을 소탕하는 최정예 FBI 요원으로 관객을 사로잡았다...
2,"■ 영화에 대한 영화 ‘바빌론’‘이마 베프’



바빌론



마약 술 취한 광란의 할리우드

꿈 좇는 스태프와 배우들 조명

거친 버전의‘라라랜드’ 연상케



이마 베프



프랑스 영화 주연 섭외된 장만옥

무력감 빠져버린 제작진 만나

스크린에 비친 ‘예술적 이미지’‘극장의 위기’라고 한다. ‘영화 본다’고 하면, 온라인동영상서비스(OTT)를 컴.."
2,"1920년대 꿈과 환락의 무대 할리우드, 잭 콘래드(브래드 피트)는 누구나 한 번쯤 만나고 싶어하는 당대 최고의 배우다. 가난한 배우 지망생 넬리 라로이(마고 로비)는 어느 날 파티에 갔다가 우연히 영화에 캐스팅되고, 벼락스타로 떠오른다. 영화에 대한 열정으로 가득찬 이민자 출신 마누엘 토레스(디에고 칼바)는 제작사 직원으로 할리우드에 입성한다. 
 
.."
2,"영화를 사랑하는 사람이라면 ‘필관(필수 관람)’ 할 만한 작품이 개봉했다. 할리우드가 사랑하는 신예 데이미언 셔젤 감독이 5년 만에 가지고 돌아온 영화 ‘바빌론’이다. 영화는 향락에 찌들었지만 영화에 대한 애정과 집념으로 가득했던 1920년대 할리우드의 명암을 스크린에 담아냈다. 189분이라는 긴 러닝타임 압박에도 화려한 음악 속 브래드 피트, 마고 로.."
3,"부상자 100명 발생 심정지 환자 많아 사망자 더 늘어날듯



핼러윈 앞둔 주말 수만명 인파 “앞에서 갑자기 다 넘어져 깔려”



경찰, 재난대책본부 구성 사상자 신원 확인 피해자 지원 총력29일 밤 서울 용산구 이태원동 일대에 핼러윈을 앞두고 수만 명의 인파가 몰리면서 이태원 해밀톤 호텔 근처에서 대형 압사 참사가 났다. 30일 오전 2시 40분 .."
3,"지난 29일 발생한 ‘이태원 압사 참사’는 주최 측 없는 행사라는 이유로 안전사고 위험을 방치했다는 지적이 나오고 있다. 경찰은 핼러윈 행사가 열리기 전부터 이태원 일대에 10만명 이상의 인파가 몰릴 것을 알고도 안전사고에 대한 대책을 마련하지 않았고, 주최 측이 없는 행사와 관련한 자체 매뉴얼조차 없던 것으로 드러났다. 
 폴리스라인 설치된 참사 현장.."
3,서울 이태원 거리에서 하룻밤 새 150명 이상이 사망하는 최악의 압사 사고가 발생했다. 삽시간에 몰린 인파로 사고 현장이 통제불능 상태가 되면서 손 쓸 겨를도 없이 참극이 빚어졌다. 사회적 거리두기 해제로 3년 만의 ‘노마스크’ 핼러윈 행사가 가능해지면서 10만명 이상이 운집할 것으로 예상됐음에도 관계 당국과 인근 상인회의 현장 관리 등 안전 조치가 안..
3,"이태원 참사 당시 현장 인근에 배치된 경찰 형사인력이 사고 발생 29분 뒤 현장에 투입된 것으로 나타났다. 경찰은 사고 당일 핼러윈 파티가 열린 이태원 일대에 마약 강력범죄 담당 형사인력을 대거 배치했으나 정작 마약단속 실적은 ‘0건’이었다. 
 지난 3일 오후 서울 용산구 이태원동 이태원역 출구에 마련된 추모공간이 희생자를 위해 남겨진 메시지와 조화로.."
3,서울 이태원 거리에서 하룻밤 새 150명 넘게 사망하는 최악의 압사 사고가 발생했다. 몰려든 인파로 사고 현장이 삽시간에 통제불능 상태가 되면서 손쓸 겨를도 없이 참극이 빚어졌다. 사회적 거리두기 해제로 3년 만의 ‘노마스크’ 핼러윈 행사가 가능해지면서 10만명 이상이 운집할 것으로 예상됐음에도 관계 당국과 인근 상인회의 현장 관리 등 안전 조치가 안일..
4,"법무부 △대변인 박철우 △인권국장 이상갑 △형사사법공통시스템운영단장 박윤석 △법무과장 정지영 △통일법무 장소영 △법조인력 정수진 △검찰과 검사 조영희 △형사기획과장 류국량 △ 과 검사 정윤식 △공공형사과장 차순길 △ 과 검사 이주현 △국제형사과장 김윤선 △형사법제 이응철 
 
 법무연수원 △총괄교수 이문한(법무연수원 기획부장 직무대리) △교수 조남.."
4,◆법무부 <법무부> △형사사법공통시스템운영단장 원지애 ◇검사 △감찰담당관실 박대환 조철 △법무심의관실 석수민 △국제분쟁대응과 이성직 △검찰과 최수봉 △형사기획과 문종배 △공공형사과 진세언 ◇과장 △법무 최재아 △통일법무 김태헌 △법조인력 이준호 △형사기획 용성진 △공공형사 박규형 △국제형사 이지형 △형사법제(법령제도개선TF팀장 겸직) 윤원기 △인권조사 ..
4,"◇ 법무부 ▲ 장관정책보좌관 양선순 ▲ 대변인 박현주 ▲ 감찰담당관 임은정 ▲ 감찰담당관실 검사 임삼빈 안광현 ▲ 형사사법공통시스템운영단장 한제희 ▲ 법무과장 정지은 ▲ 법조인력과장 이정배 ▲ 검찰과장 주민철 ▲ 검찰과 검사 박양호 ▲ 형사기획과장 이응철 ▲ 공공형사과장 이성식 ▲ 국제형사과장 나욱진 ▲ 형사법제과장 문지선 ▲ 인권조사과장 박현규 
 
.."
4,"[인사] 법무부 
◇법무부 ▲감찰담당관실 검사 박대환 조철 ▲형사사법공통시스템운영단장 원지애 ▲법무심의관실 검사 석수민 ▲법무과장 최재아 ▲국제분쟁대응과 검사 이성직 ▲통일법무과장 김태헌 ▲법조인력과장 이준호 ▲검찰과 검사 최수봉 ▲형사기획과장 용성진 ▲형사기획과 검사 문종배 ▲공공형사과장 박규형 ▲공공형사과 검사 진세언 ▲국제형사과장 이지형 ▲형사법제.."
4,법무부 ◆법무부 △감찰담당관실 검사 박대환 조철 △형사사법공통시스템운영단장 원지애 △법무심의관실 검사 석수민 △법무과장 최재아 △국제분쟁대응과 검사 이성직 △통일법무과장 김태헌 △법조인력과장 이준호 △검찰과 검사 최수봉 △형사기획과장 용성진 △형사기획과 검사 문종배 △공공형사과장 박규형 △공공형사과 검사 진세언 △국제형사과장 이지형 △형사법제과장 윤원기..
5,"마약 정책을 두고 평행선을 달리던 미국과 멕시코가 일명 ‘좀비 마약’으로 불리는 펜타닐 문제에 대해서만큼은 한목소리를 내기 시작했다. 펜타닐을 막기 위해선 중국에 대한 견제가 필요하다는 공감대가 형성됐기 때문이다. 
 
안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 10일(현지 시각) 정례 기자회견에서 “펜타닐 대책 협의를 위해 정부 관계자가 이번 .."
5,"마약 문제를 두고 서로 상대 탓을 해오던 미국과 멕시코가 일명 ‘좀비 마약’으로 불리는 펜타닐 문제에 대해서만큼은 한목소리를 내기 시작했다. 펜타닐을 막기 위해선 중국에 대한 견제가 필요하다는 공감대가 형성된 것이다. 
 
안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 10일(현지 시각) 정례 기자회견에서 “펜타닐 대책 협의를 위해 정부 관계자가 이.."
5,"가옥들이 빽빽이 밀집된 마을 한복판에서 연신 기관총 소리가 들리고, 총성에 놀란 사람들은 몸을 떨며 엎드려 있다. 이 와중에 범죄 조직원들은 차량을 불태우며 맹렬히 저항한다. 
 
 지난 5일(현지시간) 멕시코 군 당국은 멕시코 북부 시날로아주(州) 쿨리아칸 외곽에 있는 헤수스 마리아에서 벌어진 ‘범죄와의 전쟁’을 담은 이같은 생생한 현장 영상을 전격 .."
5,"멕시코의 전설적인 마약왕 ‘엘 차포’의 아들이 5일(현지시간) 대규모 병력을 동원한 군사 작전 끝에 전격 체포됐다. 그가 이끄는 마약 밀매 조직은 최근 미국 사회에서 심각한 문제를 일으키고 있는 죽음의 마약 ‘펜타닐’의 주요 공급처 중 하나로, 미국은 오랫동안 그의 신병 인도를 멕시코에 요구해 왔다. 이번 작전은 오는 9일 있을 북미 정상회담을 앞두고 .."
5,"멕시코의 전설적인 마약왕 ‘엘 차포’의 아들인 갱단 실권자 오비디오 구스만이 멕시코 정부의 대규모 병력을 동원한 군사 작전 끝에 전격 체포됐다.

멕시코 일간 엘우니베르살 등에 따르면 멕시코 국가방위대와 군은 5일(현지시간) 새벽 시날로아주 쿨리아칸 외곽 헤수스 마리아에서 악명 높은 마약조직 시날로아 카르텔의 실질적인 지도자 오비디오 구스만을 체포해서 .."
6,"부산 해운대 도심 한복판을 시속 140㎞로 질주해 7중 추돌사고를 내 7명에게 중경상을 입힌 포르쉐 차량의 운전자는 차 안에서 대마를 흡입, 환각 상태에서 운전대를 잡았던 것으로 드러났다. 이 사고에 앞서 다른 곳에서 2차례 사고를 내고 뺑소니를 치던 중이었던 것도 확인됐다. 
 
15일 부산경찰청에 따르면 전날 해운대 중동 교차로에서 7중 추돌사고를 .."
6,"40대 운전자 경찰 조사에서 ‘차 안에서 대마 흡입’ 자백

 

지난 14일 부산 해운대 도심의 7중 추돌사고 원인은 운전자의 ‘환각 질주’ 때문인 것으로 나타났다. 부산경찰청은 마약 투약 혐의로 7중 추돌사고를 낸 포르쉐 운전자 A(40대) 씨를 조사하고 있다고 15일 밝혔다. 

 

A 씨는 이날 경찰 조사에서 사고 직전 차량 안에서 대마를 흡입.."
6,"지난 14일 오후 5시43분 부산 해운대구 중동역 인근 교차로에서 7중 추돌 사고를 낸 검은색 포르쉐 차량(왼쪽)이 완파돼 뒤집혀 있다. 이 사고로 운전자 등 7명이 다쳐 병원으로 옮겨졌다고 한다. 부산소방재난본부 제공 
 부산 도심 한복판에서 ‘광란의 질주’란 표현이 나올 정도로 과속 운전을 하다 연쇄 사고를 낸 데 이어 7중 추돌 사고까지 내 일대를.."
6,"부산 해운대 도심 한복판을 과속 질주해 7중 추돌 사고를 내고 7명을 다치게 한 포르쉐 차량 운전자 A씨가 대마를 흡연한 상태에서 운전대를 잡았던 것으로 드러났다. 앞서 A씨는 경찰 조사에서 마약류 사용을 완강히 부인하며 마약 검사에 응하지 않았지만, 거듭된 검사 회피 이유 추궁에 결국 대마초 흡입 사실을 털어놨다. 대마는 최초 동승자에게 건네받아 흡연.."
6,"부산 해운대에서 광란의 질주로 7중 추돌사고를 낸 포르쉐 운전자가 차량에서 대마초를 흡입한 뒤 운전한 것으로 드러났다. 이 운전자는 대마초 흡입 후 2차례의 접촉 사고를 낸 뒤 도망가는 과정에서 7중 추돌사고를 낸 것으로 확인됐다.
15일 부산경찰청에 따르면 전날 해운대 중동 교차로에서 7중 추돌사고를 낸 포르쉐 차량 운전자인 40대 A씨는 사고를 내기.."
7,"90만명이 동시에 투약할 수 있는 분량의 필로폰을 미국에서 국내로 몰래 들여온 마약 밀수 조직원들이 재판에 넘겨졌다. 
 
인천지검 강력범죄수사부(부장 김연실)는 특정범죄 가중처벌 등에 관한 법률 위반 혐의로 A(29)씨 등 마약 밀수 조직의 수령책 관리책 6명을 구속 기소했다고 12일 밝혔다. 
 
또 이들의 도피를 도운 혐의로 B(29)씨 등 4명을.."
7,"각설탕 시리얼 속에 마약 은닉 90만명분 밀수 조직 적발

한미 공조로 조직원 검거 수령책 관리책 등 6명 구속기소인천=지건태 기자

지난해 미국에서 국내로 흘러들어온 필로폰 유통의 71%를 맡았던 국제마약조직 일당이 검찰에 적발돼 재판에 넘겨졌다. 이들이 몰래 들여온 필로폰 27.5kg은 시가로 약 900억원어치로 90만여 명이 동시에 투약할 수 있는.."
7,"밀수입 필로폰 수도권에 유통 해외 체류 공급 총책 인터폴 수배

밀수입한 100억 원 상당의 필로폰을 원룸에 보관해 놓고 유통한 일당이 경찰에 붙잡혔다.



서울경찰청 마약범죄수사대는 동남아시아에서 밀수입한 필로폰을 수도권에 유통하거나 이를 거래한 혐의(마약류관리에관한법률 위반) 등으로 9명을 검거하고 그중 3명을 구속했다고 28일 밝혔다. 해외에 체.."
7,"90만명이 동시에 투약할 수 있는 분량의 필로폰을 미국에서 몰래 들여온 마약 밀수 조직원들이 기소됐다. 
 
인천지검 강력범죄수사부(부장검사 김연실)는 특정범죄 가중처벌 등에 관한 법률상 향정 혐의로 A씨(29) 등 마약 밀수 조직의 수령책 관리책 6명을 구속 기소했다고 12일 밝혔다. 
 
검찰은 또 이들의 도피를 도운 혐의로 B씨(29) 등 4명을 .."
7,"밀수입한 대량의 필로폰을 원룸에 보관해 놓고 유통한 일당이 경찰에 붙잡혔다. 
 
 서울경찰청 마약범죄수사대는 동남아시아에서 밀수입한 필로폰을 다른 사람 명의로 얻어둔 원룸에 보관하며 수도권에 유통하거나 이를 거래한 혐의(마약류관리에관한법률 위반) 등으로 9명을 검거하고 그중 3명을 구속했다고 28일 밝혔다. 
 
 해외에 체류 중인 공급 총책 A(42.."
8,"“트럼프는 무죄” vs “트럼프를 가둬라” 
 국가기밀 불법 반출 및 사법 방해 등 혐의로 기소된 도널드 트럼프 전 미국 대통령이 플로리다주 마이애미 연방법원에 출석한 13일(현지시간) 미국 사회는 다시 둘로 쪼개졌다. 트럼프 지지자들과 그를 반대하는 사람들이 빚어낸 극명한 분열상이었다. 
 
 트럼프 전 대통령은 이날 오후 1시 35분 공화당을 상징하.."
8,"도널드 트럼프 미국 대통령과 민주당 대통령 후보 조 바이든 전 부통령 간 대통령 후보 1차 TV 토론은 혼돈 그 자체였다. 두 후보와 주최 측이 사전에 약속한 규칙은 지켜지지 않았고, 후반부로 가서는 사회자도 질문을 잊을 정도로 엉망진창이 됐다. 역대 가장 큰 혼란 속에 진행 중인 선거 모습이 토론회에서도 그대로 드러났다. 
 
 시작부터 심상치 않은 .."
8,"‘트럼프는 전체 분위기를 흐릴 정도로 끼어들기를 일삼았고, 바이든은 예상보다 실수를 범하지 않으며 트럼프를 공격했다.’

 29일(현지시각) 밤 열린 도널드 트럼프 미국 대통령과 민주당의 조 바이든 전 부통령의 첫 대선 후보 텔레비전 토론은 간단히 말해 이렇게 정리할 수 있다. 대선(11월3일)을 35일 앞두고 마주 선 두 사람은 코로나19, 경제, 인.."
8,"""이것은 미국이 아니다."" 
 지난 6일(현지시간) 도널드 트럼프 대통령의 극렬 지지자들이 워싱턴DC 연방의회에 난입하는 초유의 사태가 벌어지자 유럽연합(EU)의 외교수장 격인 호세프 보렐 외교안보정책 고위대표가 내놓은 탄식이다. 그도 그럴 것이 현장 영상에선 '민주주의의 교과서'로 불리며, 분열된 국제사회의 컨센서스를 만들어내고, 분쟁과 갈등에 개입해.."
8,"트럼프 캠프, 지난 9월 선거자금 
바이든 캠프에 1억 3600만 달러(1558억원) 밀려 
바이든 차남 헌터 은밀한 사생활 동영상 유출 
추가 폭로 배제 못해 사상 최악 대선 우려 
 
 
올해 미국 대선은 예상대로 신종 코로나바이러스감염증(코로나19) 선거가 됐다. 코로나19가 모든 이슈를 잡아먹는 블랙홀 역할을 하고 있다. 
 
코로나19가 미국 .."
9,"해외에서 밀반입한 마약류를 텔레그램등을 통해 비대면 방식 등으로 판매한 일당이 경찰에 붙잡혔다.

강원경찰청 마약범죄수사대는 마약류관리에 관한 법률 위반 혐의로 국내 총책 A씨와 판매책 등 16명을 검거해 이중 10명을 구속했다고 6일 밝혔다.

또 텔레그램을 통해 이들로부터 필로폰 등 마약류를 매수해 투약한 17명도 검거해 조사중이다.

A씨 등은 지.."
9,"마약류 5종을 인터넷상에서 판매한 마약 판매상 3명과 미성년자를 포함한 투약자 5명이 경찰에 검거됐다. 
 
 서울 중랑경찰서는 12일 텔레그램으로 마약류를 구입 판매하고 투약한 혐의(마약류관리법 위반)로 마약 판매자 A(29)씨와 B(43)씨, A씨와 공범이자 연인관계인 C(30)씨 및 판매상과 단순 투약자 5명 등 8명을 검거했다고 밝혔다. 이들은 .."
9,"텔레그램과 원룸 임대 등 비대면 방식으로 마약을 판매한 일당이 붙잡혔다.
강원경찰청 마약범죄수사대는 마약류관리에 관한 법률 위반 혐의로 마약 판매 조직의 국내 총책과 판매책 등 16명을 붙잡아 10명을 구속했다고 6일 밝혔다.
이들은 지난달 베트남에서 필로폰과 엑스터시 등 마약류를 밀반입한 뒤, 유통한 혐의를 받는다. 또 텔레그램을 통해 이들로부터 마약.."
9,"비대면 방식으로 마약을 유통한 일당과 구매자 33명이 경찰에 붙잡혔다. 경찰은 이 조직이 국내 밀반입 마약의 30% 가량을 판매했다고 밝혔다. 

강원경찰청 마약범죄수사대는 마약류관리에 관한 법률 위반 혐의로 마약 판매 조직 국내 총책과 판매책 등 16명을 붙잡아 10명을 구속했다고 6일 밝혔다. 이들은 지난달 베트남에서 필로폰과 엑스터시 등 마약류를 .."
9,"경찰이 텔레그램을 이용해 마약을 거래하고 입금 후 약속된 장소에 마약을 숨겨 놓고 가는 ‘던지기’ 수법으로 마약 유통을 해 온 70명을 검거했다. 대다수가 20~30대로 일부는 원룸을 파티룸으로 개조해 지인들을 불러 마약을 함께 투약하기도 했다. 
 
서울경찰청 마약범죄수사대는 마약을 유통한 판매책 18명과 매수자 52명 등 총 70명을 마약류 관리에 .."
10,"최근 서울 강남 대치동 학원가에서 학생들에게 마약이 든 음료를 건넨 뒤 학부모를 협박한 사건이 발생하면서 교육당국이 마약 예방교육 강화 등 대책 마련에 나섰다. 
 
 서울시교육청은 학생과 교직원, 학부모를 대상으로 ‘마약류를 포함한 유해약물 일상 특별 예방교육’을 강화하겠다고 9일 밝혔다. 각 학교에는 1학기 중으로 학생 대상 마약 예방교육을 실시하도.."
10,"강남 학원가에서 시음 행사를 핑계로 마약 성분이 든 음료를 학생들에게 건넨 일당이 음료를 마신 학생들의 부모를 협박한 것으로 파악됐다. 이들은 음료를 마신 학생의 부모에게 전화와 문자를 통해 “자녀가 마약을 먹었다. 인생 종치기 싫으면 지금 전화하라”며 돈을 뜯어내려 한 것으로 확인됐다.
서울 강남경찰서는 강남구 학원가 일대에서 고등학생에게 마약 성분이.."
